                  Header
Time              K.E              T      
10100.000000    35039.593750   309.067841 
10200.000000    34963.859375   308.399780 
10300.000000    34856.925781   307.456635 
10400.000000    35242.023438   310.853363 
10500.000000    34947.351562   308.254211 
10600.000000    34558.890625   304.827789 
10700.000000    35288.625000   311.264465 
10800.000000    35471.148438   312.874359 
10900.000000    34943.570312   308.220856 
11000.000000    34578.570312   305.001343 
11100.000000    36289.882812   320.096069 
11200.000000    35111.968750   309.706207 
11300.000000    35334.296875   311.667267 
11400.000000    35690.230469   314.806793 
11500.000000    35366.789062   311.953827 
11600.000000    35179.437500   310.301300 
11700.000000    35076.566406   309.393982 
11800.000000    35079.867188   309.423096 
11900.000000    35192.585938   310.417297 
12000.000000    35176.222656   310.272949 
12100.000000    34319.109375   302.712738 
12200.000000    35268.300781   311.085144 
12300.000000    34721.257812   306.259918 
12400.000000    35157.738281   310.109924 
12500.000000    34674.886719   305.850952 
12600.000000    35136.789062   309.925171 
12700.000000    34801.832031   306.970642 
12800.000000    35471.890625   312.880951 
12900.000000    35493.953125   313.075500 
13000.000000    34662.058594   305.737793 
13100.000000    35382.468750   312.092163 
13200.000000    35157.828125   310.110748 
13300.000000    35020.851562   308.902496 
13400.000000    34555.210938   304.795319 
13500.000000    34671.042969   305.817047 
13600.000000    35741.984375   315.263367 
13700.000000    35195.109375   310.439545 
13800.000000    35129.839844   309.863861 
13900.000000    35410.640625   312.340668 
14000.000000    35617.031250   314.161133 
14100.000000    34664.683594   305.760925 
14200.000000    35410.070312   312.335663 
14300.000000    35234.746094   310.789154 
14400.000000    34630.062500   305.455536 
14500.000000    35397.636719   312.225952 
14600.000000    34669.722656   305.805389 
14700.000000    35074.382812   309.374725 
14800.000000    35292.347656   311.297241 
14900.000000    35731.792969   315.173431 
15000.000000    35150.898438   310.049622 
15100.000000    34648.757812   305.620483 
15200.000000    35286.703125   311.247528 
15300.000000    35454.546875   312.727905 
15400.000000    35255.570312   310.972870 
15500.000000    35081.812500   309.440247 
15600.000000    34750.500000   306.517883 
15700.000000    35059.386719   309.242371 
15800.000000    35160.910156   310.137909 
15900.000000    34822.351562   307.151611 
16000.000000    34572.703125   304.949585 
16100.000000    35109.863281   309.687653 
16200.000000    35242.632812   310.858795 
16300.000000    35234.222656   310.784576 
16400.000000    35113.320312   309.718170 
16500.000000    34717.242188   306.224518 
16600.000000    35304.875000   311.407715 
16700.000000    35251.519531   310.937103 
16800.000000    35068.046875   309.318787 
16900.000000    35023.324219   308.924316 
17000.000000    35266.109375   311.065826 
17100.000000    34883.539062   307.691315 
17200.000000    35652.652344   314.475342 
17300.000000    35267.277344   311.076111 
17400.000000    35206.484375   310.539917 
17500.000000    35228.429688   310.733490 
17600.000000    35071.882812   309.352631 
17700.000000    35030.691406   308.989319 
17800.000000    35479.031250   312.943909 
17900.000000    35255.855469   310.975403 
18000.000000    34923.578125   308.044525 
18100.000000    34869.242188   307.565277 
18200.000000    35376.265625   312.037445 
18300.000000    35136.937500   309.926483 
18400.000000    35207.761719   310.551178 
18500.000000    35441.535156   312.613129 
18600.000000    35298.730469   311.353516 
18700.000000    35219.582031   310.655426 
18800.000000    35111.820312   309.704926 
18900.000000    35330.835938   311.636749 
19000.000000    35368.351562   311.967682 
19100.000000    35443.175781   312.627655 
19200.000000    35662.210938   314.559631 
19300.000000    35780.765625   315.605347 
19400.000000    34859.441406   307.478821 
19500.000000    34897.468750   307.814240 
19600.000000    35198.828125   310.472382 
19700.000000    35569.363281   313.740631 
19800.000000    35659.460938   314.535400 
19900.000000    34706.210938   306.127228 
20000.000000    34673.757812   305.841003 
20100.000000    34707.554688   306.139099 
